text,label
"Ronaldo WC 2030. Here we go!",REACTION
"If he can walk, he'll be there. It'll be a home tournament.",ANALYSIS
"Getting a little out of hand with these shared tournaments.",HOT_TAKE
"Reminder to everyone that the only reason FIFA did this was so Saudi Arabia's bid couldn't get competition.",ANALYSIS
"Yup, as corrupt as it gets. Couldn't be more blatant.",HOT_TAKE
"It also basically guarantees another US World Cup in 2038.",ANALYSIS
"I wouldn't mind seeing a WC in Australia/NZ tbh",HOT_TAKE
"China could've put in a bid for 2034 if they wanted it.",ANALYSIS
"They only gave 28 days to put a bid in after the announcement.",ANALYSIS
"And get embarrassed on home soil. Xi is smarter than that.",HOT_TAKE
"Henry is absolutely right.",HOT_TAKE
"Portugal are playing for Ronaldo instead of playing football.",ANALYSIS
"That team spends too much time trying to force chances to him.",ANALYSIS
"He should've retired after Qatar.",HOT_TAKE
"Ronaldo still has value, just not as the focal point.",ANALYSIS
"This obsession with records hurts the team.",ANALYSIS
"Thierry Henry nailed it.",REACTION
"One of the smartest football pundits around.",HOT_TAKE
"The problem is that every attack ends with a cross toward Ronaldo.",ANALYSIS
"Portugal have enough talent to play through the middle.",ANALYSIS
"Leao was ignored multiple times.",ANALYSIS
"Bruno creates more danger when he isn't looking for Ronaldo every possession.",ANALYSIS
"People won't like hearing this.",REACTION
"Ronaldo fans are going to be furious.",REACTION
"He's saying what everyone already knows.",HOT_TAKE
"The team should be built around winning, not feeding one player.",ANALYSIS
"Portugal looked much better once they stopped forcing it.",ANALYSIS
"This isn't a controversial statement.",HOT_TAKE
"He's still world class in the box.",ANALYSIS
"But he shouldn't dictate the entire attack.",ANALYSIS
"Facts.",REACTION
"Common Henry W.",REACTION
"One of the best analysts in football media.",HOT_TAKE
"The quote sounds harsh but it's correct.",ANALYSIS
"Ronaldo is chasing goals instead of helping the system.",ANALYSIS
"The issue isn't Ronaldo scoring, it's the team changing its style for him.",ANALYSIS
"This is exactly what happened against Georgia.",ANALYSIS
"Portugal have become predictable.",ANALYSIS
"They rely on crosses far too much.",ANALYSIS
"Leao and Bruno are being wasted.",HOT_TAKE
"That front line should be producing much more.",ANALYSIS
"Every pundit has been saying this for years.",ANALYSIS
"Henry understands modern football.",HOT_TAKE
"The best teams prioritize chance creation over individual records.",ANALYSIS
"People treat criticism of Ronaldo as hate.",ANALYSIS
"This comment section is going to be fun.",REACTION
"Twitter will have a meltdown over this.",REACTION
"He's right and people know he's right.",HOT_TAKE
"Portugal need balance more than they need Ronaldo goals.",ANALYSIS
"The team needs to score, not you need to score.",NEWS
"Mbappe can easily play a couple of world cups and could reach 18 goals in this tournament.",ANALYSIS
"This is exciting!",REACTION
"Mbappe will play at least two more world cups.",ANALYSIS
"Easily 3. Guy will be 38 when it happens though.",ANALYSIS
"I wouldn't be so sure about 3. Injuries and aging could prevent it.",ANALYSIS
"Agreed. Mbappe relies too much on athleticism.",ANALYSIS
"I'd say 3.",HOT_TAKE
"Boss",REACTION
"Mbappe will become the highest scorer and the record will stand for 30 years.",HOT_TAKE
"Messi is more complete, but Mbappe has youth and future tournaments on his side.",ANALYSIS
"I don't think it'll last 30 years because tournament expansion makes scoring easier.",ANALYSIS
"A future Haaland-type player could break it.",HOT_TAKE
"Valid point.",REACTION
"Being blessed to play for France helps a lot.",ANALYSIS
"Longevity matters more than raw talent for these records.",ANALYSIS
"The World Cup will eventually have 64 teams.",NEWS
"Future players will have more opportunities because of expansion.",ANALYSIS
"Mbappe has had a great team around him.",ANALYSIS
"Messi was unfortunate with some of the teams he had.",ANALYSIS
"Messi isn't a pure striker and still leads this conversation.",ANALYSIS
"Mbappe has one of the strongest national teams in football history.",HOT_TAKE
"He averages about one goal per World Cup match.",NEWS
"It's Messi's last World Cup.",NEWS
"He's 27. He isn't playing at 43.",ANALYSIS
"He plays absolutely no defense and waits up top.",HOT_TAKE
"I assume they meant this World Cup.",ANALYSIS
"Read again. That's not what they meant.",REACTION
"Most players are washed by 34 or 35.",HOT_TAKE
"Not everyone can age like Messi or Modric.",HOT_TAKE
"And we all saw how Modric played game one.",REACTION
"Not good.",REACTION
"Klose's record was always going to fall eventually.",HOT_TAKE
"Mbappe is on pace to shatter it.",HOT_TAKE
"The expanded format benefits elite scorers.",ANALYSIS
"France consistently produces world-class attacking talent.",ANALYSIS
"His injury record will determine everything.",ANALYSIS
"The scary thing is he's still in his prime.",REACTION
"Records are made to be broken.",HOT_TAKE
"This generation may never see another scorer like him.",HOT_TAKE
"His finishing has improved dramatically since 2018.",ANALYSIS
"France's depth makes these records easier to chase.",ANALYSIS
"Messi's versatility actually reduced his scoring totals.",ANALYSIS
"Being a dedicated striker helps Mbappe accumulate goals.",ANALYSIS
"The record could be unreachable if he stays healthy.",HOT_TAKE
"Future World Cups are becoming more offense-friendly.",ANALYSIS
"France remain tournament favorites whenever Mbappe plays.",HOT_TAKE
"The gap between elite and weaker nations creates opportunities.",ANALYSIS
"He'll break the record this tournament.",HOT_TAKE
"That's amazing.",REACTION
"Kylian Mbappe reaches Miroslav Klose's World Cup goal record with 16 goals.",NEWS
"[The Times] Fifa wants to change the rules on penalty shoot-outs before the knockout rounds start at this World Cup so that a team either choose to take the first spot kick or to do it in front of their own fans",NEWS
"[ESPN FC] The longest time EVER between a player's first and latest World Cup goal: Ronaldo: 20 years and 11 days; Messi: 20 years and 11 days.",NEWS
"[Sky Sports] Real Madrid will activate their buy-back clause for Nico Paz at €10M in the next few days. After that, the club values him at €60M.",NEWS
"[OC] Three players have scored 2 or more goals in back-to-back games at the 2026 World Cup so far: Messi, Mbappe and Haaland. The only other World Cup to ever produce three was 1958.",NEWS
"[ESPN] Aston Villa offers €9 million for Flamengo's Emerson Royal",NEWS
"[Bild+] FC Bayern are interested in Felix Nmecha. Especially Max Eberl, who already had some loose talks with his agent, is a big fan.",NEWS
"[David Ornstein] Arsenal now in club-to-club contact with Leicester City over deal for Jeremy Monga.",NEWS
"OFFICIAL: RB Salzburg sign Kevin Boma for 7 million euros",NEWS
"[FC Barcelona] Agreement for the transfer of the 27-year-old goalkeeper Iñaki Peña to Panathinaikos FC",NEWS
"[Carlos Monfort] Barça are preparing a 130m bid for Julian Alvarez.",NEWS
"[De Telegraaf] Youssef El Kachati reaches agreement in principle with Stade de Reims on a three-year contract.",NEWS
"Per FIFA Media, Mexico–South Korea averaged 25.5 million viewers in Mexico, the most-watched World Cup broadcast of the 21st century in the country.",NEWS
"Total Soccer Growth Holdings announced as new owners of Central Coast Mariners FC.",NEWS
"[VI] Fortuna Sittard and Excelsior Rotterdam want to loan Zeefuik from AZ.",NEWS
"[Squawka] The 2026 World Cup has already produced twice as many red cards as the entirety of the 2022 edition.",NEWS
"[COPE] Atlético Madrid want to sell Julián Álvarez to Arsenal in a deal involving a transfer fee plus Viktor Gyökeres.",NEWS
"[Ornstein] Lucas Bergvall informs Tottenham of preference to leave club this summer.",NEWS
"[Telegraph] Lamine Yamal is no longer the same bright-eyed boy who lit up Euro 2024.",NEWS
"[VI] FC Famalicão wants to extend the contract of Dutch midfielder Tom van de Looi.",NEWS
"[Sofascore] Pau Cubarsí has completed 205 of 208 passes at the World Cup so far.",NEWS
"[FIFA] Alireza Beiranvand named Player of the Match in Belgium 0–0 Iran after making 7 saves.",NEWS
"[Mundo Deportivo] Ajax are interested in signing Jofre Torrents on loan from FC Barcelona.",NEWS
"[ESPN FC] History for Curaçao as they earn their first-ever World Cup point.",NEWS
"[Sports Illustrated] Famous DR Congo fan Lumumba Vea has arrived in Mexico ahead of the Colombia match.",NEWS
"[The Athletic] Nottingham Forest interested in Lucas Bergvall deal with midfielder’s Spurs future uncertain.",NEWS
"[Fabrizio Romano] Liverpool are prepared to bid again for Yan Diomandé after an opening proposal was rejected.",NEWS
"[Moretto] Alejandro Grimaldo is one step away from signing with Atlético Madrid.",NEWS
"[BBC] Following the 0-0 result of Ecuador–Curacao, Germany are confirmed winners of Group E.",NEWS
"[Pete Hall] Tottenham Hotspur are set to open talks for Marcus Rashford.",NEWS
"[Mundo Deportivo] Julián Alvarez is considering making a public gesture to help facilitate a move to Barcelona.",NEWS
"[Romano] Hrvoje Smolcic joins Arca Çorum FK on a two-year deal plus one-year option.",NEWS
"2010 is going to haunt Messi",HOT_TAKE
"Wasting that World Cup with Maradona as coach will haunt all of Argentina ngl",ANALYSIS
"Crazy. Always forget he coached that year.",REACTION
"And I will always remember he was the coach in 2006 because of him not knowing Thomas Müller at the press conference",ANALYSIS
"It's so crazy to have your nation's greatest legend coaching your next legend and doing such a shit job that it hurts his reputation",ANALYSIS
"2010 is a wild World Cup, that's why it's very memorable",REACTION
"He got the World Cup title later, so I bet he is fine",ANALYSIS
"Could've had at least two more World Cups. He didn't score in a single knockout game in 2006, 2010, 2014 and 2018.",ANALYSIS
"Argentina's best hope was to surpass Brazil while Messi was active",ANALYSIS
"Brazil haven't won the cup in 24 years and this one is still on",ANALYSIS
"Only one that was close is 2014. France was better in 2018.",ANALYSIS
"CR7 hasn't scored in knockouts from 2006–2022. No need to fret on misses when you've won so much.",ANALYSIS
"Maradona committed a crime there",HOT_TAKE
"I'm sure he'll be devastated about losing out on this record",HOT_TAKE
"He'll be crying himself to sleep next to that World Cup trophy",REACTION
"I'm sure he's losing sleep over this",REACTION
"I doubt Messi gives a single flying fuck",HOT_TAKE
"Oh yes, he totally cares about that",HOT_TAKE
"He doesn't care, he's coming for the Golden Ball again",HOT_TAKE
"He looks like he's out there loving life with no expectations weighing him down",ANALYSIS
"He may have won the competition, but he'll never have scored in six World Cups",HOT_TAKE
"I don't see why he'd care, he won the World Cup",ANALYSIS
"This stat is more important to Messi than winning the World Cup",HOT_TAKE
"I don't think he would have cared if they won without him scoring",ANALYSIS
"Everyone knows that was Maradona's fault anyway",HOT_TAKE
"Most players would be happy to get to one World Cup healthy, he's got six",ANALYSIS
"This record will still be impressive even if goal records keep getting broken",ANALYSIS
"A normal guy wouldn't be able to run properly. He scored.",REACTION
"He's gotta play the 2030 World Cup, right?",REACTION
"Argentina, Paraguay and Uruguay for some reason",REACTION
"They did it so they could give Saudi Arabia a World Cup",ANALYSIS
"They'll host the opening matches because it's the centenary of the first World Cup",NEWS
"Why not just hold the whole thing there?",REACTION
"They rushed other countries out of the way to give it to Saudi Arabia",ANALYSIS
"UEFA, CAF and CONMEBOL are disqualified from hosting in 2034",NEWS
"Which raises the question of who hosts 2038",ANALYSIS
"Germany and Italy have expressed interest",NEWS
"How would New Zealand manage a 48-team World Cup?",ANALYSIS
"They co-hosted the Women's World Cup in 2023",NEWS
"Just in time to celebrate Trump's 15th year as president",HOT_TAKE
"Fucking love me some capitalism",HOT_TAKE
"Corruption",HOT_TAKE
"FIFA is corrupt and maximized profits",HOT_TAKE
"They checked off three continents and sent it to the Middle East where the money is",ANALYSIS
"They combined other options so Saudi Arabia could host in 2034",ANALYSIS
"Just enjoy him while he still plays",REACTION
"Dude's a freak, we don't know what his condition will be at 45",ANALYSIS
"He'll hit 1000 goals and retire",HOT_TAKE
"It's too early to tell",ANALYSIS
"He's retiring after this",HOT_TAKE
"[GE] Raphinha has been diagnosed with a muscular injury in the right thigh, and has no return date set by CBF",NEWS
"[Fabrizio Romano] EXCLUSIVE: Inter Miami complete deal to sign Casemiro as new midfielder, here we go! Verbal agreement sealed with all parties involved and all formal steps resolved, now waiting to sign and announce the Brazilian. Casemiro wants to play with Messi. Future in MLS.",NEWS
"[Reuters] Iran leave note of thanks in LA locker room after draw with Belgium",NEWS
"[Keith Downie] EXCL: Newcastle United have REJECTED an offer of around £80m from Tottenham for Sandro Tonali. Spurs' offer for Tonali landed earlier this week and was knocked back by Newcastle immediately.",NEWS
"[Real Madrid] denies having any contact with Michael Olise or his camp",NEWS
"[Official] Austria nominate Dejan Ljubicic from Schalke 04 to replace injured Baumgartner",NEWS
"[Cortegana] While José Mourinho is officially back at Real Madrid, he was not the only option discussed. United States manager Mauricio Pochettino was frequently mentioned in discussions, as were France coach Didier Deschamps and Aston Villa's Unai Emery.",NEWS
"[Fabrizio Romano] BREAKING: Ismael Saibari to FC Bayern, HERE WE GO! Deal sealed. €55m fee to PSV Eindhoven, medical in USA and then official. All done.",NEWS
"Official - Nico Williams signs eight-year contract extension at Athletic Club",NEWS
"[Official] Monaco and Japan midfielder Takumi Minamino suffers torn ACL, likely to miss World Cup",NEWS
"[DAZN] Jude Bellingham swore at official in Bernabeu for suffering yellow card due to unauthorized pitch entry",NEWS
"[Official] Manchester United's video announcing Michael Carrick as new head coach on a 2-year deal",NEWS
"[Romano] Real Madrid sent official proposal to Bernardo Silva, advanced talks to try sign the midfielder. Deal underway with Mourinho pushing and Real confident to anticipate Barça and Atlético.",NEWS
"[Official] Fukushima United announce the loan signing of Kazuyoshi Miura (58, his 41st season of professional football)",NEWS
"[ENDM] Hoalid Regragui has officially stepped down as Morocco's head coach, U20 World Cup champion Mohamed Ouahbi set to succeed him",NEWS
"[Sport] Javier Tebas shared Barcelona's confidential financial information with Athletic Club officials during a meeting held just days before Nico Williams' renewal.",NEWS
"[Santi Aouna] EXCL: The Saudi government now wants to sign Kylian Mbappe. After failing to recruit Messi, the government is prepared to offer a huge contract for Kylian Mbappe to join Al-Hilal.",NEWS
"[Daily Mail] FIFA have officially announced Chelsea as the first ever Club World Cup champions, as they have renamed all previous winners of the tournament to FIFA Intercontinental Champions.",NEWS
"[Official] Victor James Osimhen joins Galatasaray. 75M fee, 10 percent from future profit. 15M wage to player and 1M loyalty bonus.",NEWS
"Manchester United have beaten Liverpool home and away for the first time in 10 years, as the Red Devils officially secure a Champions League spot next season.",NEWS
"[Official] Ankle dislocation and fibula fracture: Jamal Musiala is out for a long time.",NEWS